# Chunk-averaged data for fix tprof and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp
1250 20 9999.999999999998
  20 0.975 307.8 303.349
3000 20 10000
  1 0.025 336 255.052
  2 0.075 419.1 291.743
  3 0.125 506.4 288.761
  4 0.175 529.2 256.615
  5 0.225 555.3 270.606
  6 0.275 533.3 275.948
  7 0.325 559.8 258.418
  8 0.375 614.8 275.87
  9 0.425 512.5 264.251
  10 0.475 566.4 278.118
  11 0.525 484.3 273.707
  12 0.575 554.8 269.426
  13 0.625 568.5 271.36
  14 0.675 557 288.219
  15 0.725 537 288.376
  16 0.775 548.1 270.376
  17 0.825 527.2 267.208
  18 0.875 432 278.649
  19 0.925 354.8 303.832
  20 0.975 303.5 299.025
3050 20 9999.999999999998
  1 0.025 328.6 250.78
  2 0.075 429.6 283.836
  3 0.125 500.1 276.688
  4 0.175 529.1 260.074
  5 0.225 553.2 266.976
  6 0.275 533.2 267.559
  7 0.325 562.2 257.19
  8 0.375 618.3 279.598
  9 0.425 518.5 255.915
  10 0.475 554.8 268.534
  11 0.525 487.2 270.376
  12 0.575 564.5 266.905
  13 0.625 562.9 269.981
  14 0.675 552.9 283.223
  15 0.725 544.2 281.641
  16 0.775 543.4 268.998
  17 0.825 522 253.45
  18 0.875 428.9 276.307
  19 0.925 358.3 309.184
  20 0.975 308.1 294.503
3100 20 10000
  1 0.025 326.1 247.657
  2 0.075 434.4 283.337
  3 0.125 489.2 272.762
  4 0.175 534.9 258.029
  5 0.225 554 272.35
  6 0.275 523.5 262.383
  7 0.325 582.3 254.848
  8 0.375 607 281.047
  9 0.425 526.7 256.872
  10 0.475 543.2 260.085
  11 0.525 493.3 264.768
  12 0.575 564.5 267.944
  13 0.625 566.7 272.597
  14 0.675 553.8 287.733
  15 0.725 541.5 285.621
  16 0.775 541.2 269.268
  17 0.825 520 255.576
  18 0.875 425.1 283.556
  19 0.925 359.1 309.613
  20 0.975 313.5 295.375
3150 20 10000
  1 0.025 325 247.887
  2 0.075 436.4 278.484
  3 0.125 474.9 278.584
  4 0.175 540.5 257.352
  5 0.225 551.7 277.817
  6 0.275 522.8 265.258
  7 0.325 591.5 260.918
  8 0.375 597.6 278.659
  9 0.425 531.4 257.38
  10 0.475 545.4 262.494
  11 0.525 487.5 268.767
  12 0.575 569.5 273.81
  13 0.625 568.8 267.017
  14 0.675 556.5 290.9
  15 0.725 536.7 276.655
  16 0.775 535 269.004
  17 0.825 530.8 265.426
  18 0.875 413.7 278.7
  19 0.925 360.5 309.942
  20 0.975 323.8 294.408
3200 20 10000
  1 0.025 327.5 247.775
  2 0.075 426.5 272.988
  3 0.125 475.3 269.975
  4 0.175 542.8 260.854
  5 0.225 553.8 278.982
  6 0.275 519.8 261.613
  7 0.325 590.9 257.151
  8 0.375 593.1 278.396
  9 0.425 534.2 257.855
  10 0.475 551.1 263.631
  11 0.525 488.2 265.491
  12 0.575 567.5 275.9
  13 0.625 570.3 267.943
  14 0.675 550.7 285.723
  15 0.725 543.2 275.27
  16 0.775 536.5 267.829
  17 0.825 521.9 261.891
  18 0.875 415.7 273.908
  19 0.925 361.1 311.339
  20 0.975 329.9 291.445
3250 20 10000
  1 0.025 333.5 254.317
  2 0.075 420.4 273.502
  3 0.125 479.4 268.332
  4 0.175 538.9 262.188
  5 0.225 556.1 280.211
  6 0.275 518 259.996
  7 0.325 595.7 261.207
  8 0.375 589.4 273.4
  9 0.425 535.7 264.329
  10 0.475 555.4 265.98
  11 0.525 489.7 265.711
  12 0.575 561.5 275.039
  13 0.625 573.7 265.633
  14 0.675 543.2 292.238
  15 0.725 546.2 285.805
  16 0.775 538.6 266.839
  17 0.825 517.7 260.998
  18 0.875 421.5 271.012
  19 0.925 355.9 302.787
  20 0.975 329.5 294.045
3300 20 9999.999999999998
  1 0.025 343 263.82
  2 0.075 421.5 281.189
  3 0.125 485 275.002
  4 0.175 537 265.164
  5 0.225 551.5 285.588
  6 0.275 518.3 254.903
  7 0.325 598.1 267.175
  8 0.375 587 277.016
  9 0.425 535 264.569
  10 0.475 563.1 263.797
  11 0.525 492.1 273.183
  12 0.575 558.4 271.414
  13 0.625 577.5 271.079
  14 0.675 534.9 292.161
  15 0.725 542.2 290.935
  16 0.775 542.9 269.066
  17 0.825 516.8 259.361
  18 0.875 424.9 277.9
  19 0.925 348.4 303.122
  20 0.975 322.4 297.635
3350 20 9999.999999999998
  1 0.025 345.9 269.634
  2 0.075 419.5 278.929
  3 0.125 489.1 276.701
  4 0.175 533.8 264.534
  5 0.225 551.5 282.448
  6 0.275 518.2 254.683
  7 0.325 604.2 270.021
  8 0.375 585.5 279.809
  9 0.425 531.4 267.662
  10 0.475 567.9 262.654
  11 0.525 493.4 274.26
  12 0.575 558.7 266.54
  13 0.625 573.5 271.062
  14 0.675 529.2 291.319
  15 0.725 549.7 288.407
  16 0.775 541.8 266.179
  17 0.825 517 259.59
  18 0.875 419.7 280.565
  19 0.925 350.8 286.051
  20 0.975 319.2 294.111
3400 20 10000.000000000002
  1 0.025 351.1 273.502
  2 0.075 418.1 270.973
  3 0.125 489.3 271.22
  4 0.175 532.4 263.23
  5 0.225 550.1 272.187
  6 0.275 519.5 256.644
  7 0.325 609.1 264.467
  8 0.375 587.1 273.487
  9 0.425 520.8 273.097
  10 0.475 574.6 264.189
  11 0.525 485.1 270.593
  12 0.575 565.2 266.268
  13 0.625 571.8 264.673
  14 0.675 527.7 296.723
  15 0.725 556.2 288.643
  16 0.775 532.6 262.582
  17 0.825 524.2 264.769
  18 0.875 417.4 283.835
  19 0.925 361.1 280.853
  20 0.975 306.6 283.604
3450 20 9999.999999999998
  1 0.025 355.5 264.051
  2 0.075 417.1 271.752
  3 0.125 486.6 274.559
  4 0.175 530.9 265.798
  5 0.225 546.1 272.068
  6 0.275 527.7 257.787
  7 0.325 608.7 264.278
  8 0.375 588.1 279.809
  9 0.425 513.5 269.541
  10 0.475 581.1 272.909
  11 0.525 482.3 265.02
  12 0.575 570 270.423
  13 0.625 567.9 266.371
